"source","target","sectionlength"
"UKN2094","UKN2409","1.824"
"UKN4774","UKN1188","0.74"
"UKN2729","UKN2678","1.299"
"UKN1666","UKN8360","0.997"
"UKN7777","UKN8260","0.84"
"UKN1461","UKN1200","1.391"
"UKN8260","UKN1666","0.689"
"UKN8360","UKN2729","0.398"
"UKN8040","UKN1603","1.569"
"UKN1188","UKN2851","1.541"
"UKN1342","UKN7777","0.28"
"UKN2678","UKN8040","0.312"
"UKN1200","UKN4774","0.29"
"UKN2851","UKN8603","0.598"
"UKN1603","UKN1461","1.493"
"UKN7784","UKN5456","0.555"
"UKN8063","UKN7784","4.088"
"UKN1601","UKN8063","1.3"
"UKN4740","UKN1162","1.468"
"UKN3082","UKN1571","5.983"
"UKN2251","UKN1439","3.852"
"UKN1445","UKN3017","5.412"
"UKN1445","UKN5193","0.514"
"UKN2285","UKN1887","3.578"
"UKN3014","UKN1290","8.47"
"UKN7187","UKN2899","4.309"
"UKN1887","UKN1985","3.23"
"UKN2608","UKN4519","4.367"
"UKN1084","UKN1969","5.248"
"UKN2965","UKN5090","0.39"
"UKN2965","UKN4520","0.46"
"UKN1571","UKN3418","1.417"
"UKN3017","UKN1084","4.057"
"UKN1162","UKN4687","0.791"
"UKN1162","UKN7186","6.502"
"UKN7186","UKN1103","3.331"
"UKN1290","UKN2850","7.338"
"UKN2546","UKN4408","0.179"
"UKN2899","UKN4740","1.391"
"UKN4519","UKN3082","0.166"
"UKN2960","UKN2965","2.867"
"UKN1319","UKN2608","2.404"
"UKN3293","UKN4686","0.209"
"UKN3293","UKN1642","7.271"
"UKN5089","UKN2960","2.796"
"UKN1985","UKN2546","4.123"
"UKN1709","UKN5089","0.584"
"UKN1969","UKN2251","2.944"
"UKN1439","UKN3293","9.1"
"UKN1642","UKN7187","0.999"
"UKN4520","UKN1319","2.828"
"UKN2850","UKN1709","3.27"
"UKN4408","UKN3014","4.891"
"UKN1103","UKN2285","5.097"
"UKN3418","UKN2724","2.025"
"UKN1871","UKN2511","2.532"
"UKN5093","UKN1871","5.221"
"UKN2058","UKN3487","3.619"
"UKN2724","UKN2058","5.187"
"UKN3487","UKN5093","0.644"
"UKN3487","UKN5144","0.409"
"UKN5037","UKN1440","1.256"
"UKN1105","UKN3437","13.296"
"UKN2511","UKN5094","0.126"
"UKN2511","UKN1105","12.055"
"UKN3437","UKN1641","11.931"
"UKN1641","UKN5037","5.65"
"UKN7222","UKN7223","2.211"
