"source","target","trackspeed"
"DE0FHSU","DE0FMSH","80.0"
"DE0RBDH","DE0RBDT","100.0"
"DE0RBDT","DE0RERO","100.0"
"DE0RBOK","DE0FHSU","80.0"
"DE0RERO","DE0RFHM","100.0"
"DE0RFHM","DE0RHXB","80.0"
"DE0RHXB","DE00RKH","80.0"
"DE96789","DE00RAM","80.0"
"DE00RKD","DE0RWRD","120.0"
"DE00RKW","DE000RK","120.0"
"DE0RKIN","DE96802","120.0"
"DE0RKMG","DE96804","120.0"
"DE0RKRH","DE0RKIN","120.0"
"DE0RMAL","DE0RMAX","120.0"
"DE0RMAW","DE0RMAL","120.0"
"DE0RMAX","DE0RKRH","120.0"
"DE0RWRD","DERWRTL","120.0"
"DE0RWRT","DE0RMAW","120.0"
"DE96799","DE00RKD","120.0"
"DE96802","DE0RKMG","120.0"
"DE96804","DE00RKW","120.0"
"DERWRTL","DE0RWRT","100.0"
"DERWRTL","DE0RWRT","120.0"
"DE0FWWS","DE0FWSA","80.0"
"DE000FW","DE0FWWS","80.0"
"DE0FWSA","DE00FWB","80.0"
"DE00FIL","DE0FHEI","160.0"
"DE00FMM","DE96832","160.0"
"DE00FUR","DE0FBUD","160.0"
"DE0FBGG","DE0FGAL","160.0"
"DE0FBGN","DE0FBGG","160.0"
"DE0FBUD","DE00FMM","160.0"
"DE0FGAL","DE00FIL","160.0"
"DE0FHEI","DE00FUR","160.0"
"DE96289","DE0FBGN","160.0"
"DE96832","DE00FMZ","100.0"
"DE00FMB","DE0FRUO","160.0"
"DE00FMG","DE96844","140.0"
"DE00FMS","DE00FMG","140.0"
"DE00FMZ","DE00FMS","80.0"
"DE00FNI","DE96846","90.0"
"DE00FRA","DE0FMOW","160.0"
"DE00FSP","DE00FNI","100.0"
"DE0FBRS","DE0FKCH","160.0"
"DE0FKCH","DE00FSP","160.0"
"DE0FMOW","DE0FBRS","160.0"
"DE0FRUE","DE00FRA","160.0"
"DE0FRUO","DE0FRUE","160.0"
"DE96844","DE00FMB","140.0"
"DE96848","DE000FF","60.0"
"DE00FML","DE0FBOD","140.0"
"DE00FMS","DE0FMWG","140.0"
"DE00FMZ","DE00FMS","80.0"
"DE0FAHM","DE0FMET","160.0"
"DE0FBOD","DE0FNAC","130.0"
"DE0FDHM","DE0FGUB","160.0"
"DE0FGUB","DE0FAHM","160.0"
"DE0FMET","DE0FOHF","160.0"
"DE0FNAC","DE0FNIR","140.0"
"DE0FOPP","DE0FDHM","160.0"
"DE0FWOR","DE0RBOB","160.0"
"DE0RBOB","DE00RFT","160.0"
"DE0RFTS","DE00RLO","160.0"
"DERL  S","DE0RLSM","80.0"
"DE00RFT","DE0RFTS","160.0"
"DE00RRK","DE000RL","130.0"
"DE0FMWG","DE00FML","140.0"
"DE0FNIR","DE0FOPP","100.0"
"DE0RLSM","DE000RM","80.0"
"DE00KPH","DE0KRST","120.0"
"DE0KHOF","DE0KHOR","80.0"
"DE0KHOR","DE00KOV","80.0"
"DE0KROE","DE0KHOF","80.0"
"DE0KRST","DE0KROE","120.0"
"DE96384","DE00KPH","100.0"
"DE0KSBR","DE00KGN","60.0"
"DE00KKM","DE0KKMN","80.0"
"DE0KKDZ","DE96389","60.0"
"DE0KKMN","DEYKKNR","80.0"
"DE96389","DE00KKM","80.0"
"DE96392","DE0KHOS","60.0"
"DE96394","DE0KKMN","60.0"
"DE0KKAN","DE96403","40.0"
"DE96403","DE00KVI","60.0"
"DE00KKM","DE96395","80.0"
"DE00KLA","DE0KLAB","160.0"
"DE0KBAY","DE0KLMH","120.0"
"DE0KDBE","DE0KDRA","160.0"
"DE0KDES","DE0KDOB","160.0"
"DE0KDGA","DE0KDBE","160.0"
"DE0KDHL","DE0KDGA","160.0"
"DE0KDOB","DE0KWST","140.0"
"DE0KDRA","DE0KDRH","160.0"
"DE0KDRH","DE0KDES","160.0"
"DE0KKBH","DE96379","80.0"
"DE0KKMN","DE0KKSH","120.0"
"DE0KKPO","DE0KKBH","100.0"
"DE0KKSH","DE0KBAY","120.0"
"DE0KLAB","DE0KDHL","160.0"
"DE0KLKH","DE0KLRH","120.0"
"DE0KLKS","DE0KLKH","120.0"
"DE0KLMH","DE0KLKS","120.0"
"DE96379","DE00KKM","80.0"
"DE96400","DE0KKMN","100.0"
"DEKDFFH","DE0KANM","160.0"
"DE000KD","DE00KDD","160.0"
"DE000KK","DEKKDZB","80.0"
"DE00KDD","DE96056","160.0"
"DE00KDU","DE96039","160.0"
"DE00KEM","DE000KD","140.0"
"DE0EDBU","DE0EDBZ","160.0"
"DE0EDBZ","DE0EDSL","160.0"
"DE0EDGR","DE0EDBU","160.0"
"DE0EDRM","DE0EDGR","160.0"
"DE0EDSL","DE00EDG","160.0"
"DE0KANM","DE0EDRM","160.0"
"DE0KLRH","DE00KLA","120.0"
"DE0KWST","DE00KEM","140.0"
"DE96056","DE00KDU","160.0"
"DEKKDZB","DE0KKPO","80.0"
"DE00KSM","DE00KSS","80.0"
"DE00KSO","DE0KSGR","80.0"
"DE00KSS","DE00KRG","80.0"
"DE0KSGR","DE00KSM","70.0"
"DE00FCX","DE0FMOH","220.0"
"DE00FMT","DE0FLIS","300.0"
"DE00KPW","DE0KSIB","200.0"
"DE0FBRM","DE00FCX","300.0"
"DE0FFLF","DE00FSP","160.0"
"DE0FLIS","DE0FBRM","300.0"
"DE0FMOH","DE0FFLF","220.0"
"DE0KSIB","DE00FMT","300.0"
"DE0KSTA","DE00KPW","200.0"
"DE0KFKB","DE00KPW","130.0"
"DE0KFNW","DE0KPHF","130.0"
"DE0KPHF","DE0KFKB","130.0"
"DE0KFNO","DE0KKFS","100.0"
"DE0KKFS","DE96384","100.0"
"DE96384","DE0KPHF","100.0"
"DEKPW N","DE00KPW","80.0"
"DEKT  N","DE000KT","80.0"
"DE96438","DE000KR","90.0"
"DE0KGUI","DE0KLID","130.0"
"DE0EHGV","DE96463","40.0"
"DE00EHG","DE0EHGW","70.0"
"DE0EHGW","DE96071","80.0"
"DE0EDHL","DE0EROL","80.0"
"DE0EMZH","DE0KMAH","80.0"
"DE00KGU","DE96387","70.0"
"DE0EBRU","DE0EOBG","80.0"
"DE0EDAK","DE0ESMU","80.0"
"DE0EHGD","DE0EDHL","90.0"
"DE0EHGO","DE0EHGD","80.0"
"DE0EKIE","DE0EMZH","70.0"
"DE0EOBG","DE0EKIE","80.0"
"DE0EROL","DE0EDAK","80.0"
"DE0ESMU","DE96467","80.0"
"DE0KMAH","DE00KGU","80.0"
"DE96387","DE00KDI","70.0"
"DE96467","DE0EBRU","50.0"
"DE0EHGG","DE96463","60.0"
"DE0EREH","DE0EHGG","60.0"
"DE96463","DE0EEIN","60.0"
"DE96467","DE00ELS","70.0"
"DE0EMZH","DE0EKRU","40.0"
"DE00EHG","DE0EHGO","80.0"
"DE0EHGS","DE96475","60.0"
"DE0EHGV","DE0EHGS","80.0"
"DE96475","DE0EHGK","60.0"
"DE96460","DE0EHCK","80.0"
"DE0EHID","DE0EHZW","150.0"
"DE0ESRT","DE0EHID","150.0"
"DE0EHID","DE96480","80.0"
"DE0EBAV","DE0EGAR","60.0"
"DE0EBIN","DE0EVOK","60.0"
"DE0EGAR","DE0EKNT","60.0"
"DE0EHOK","DE0ELSN","60.0"
"DE0EKNT","DE0ENRA","60.0"
"DE0EMEU","DE0EHOK","60.0"
"DE0ESCI","DE0EBAV","60.0"
"DE0EVOK","DE0ESCI","60.0"
"DE96484","DE0EMEU","60.0"
"DE00EAT","DE0EKRG","80.0"
"DE00EFP","DE0EHEG","70.0"
"DE0EEHG","DE0EOLP","80.0"
"DE0EHEG","DE00EAT","70.0"
"DE0EHOH","DE0ESON","80.0"
"DE0EKRG","DE0ELIS","80.0"
"DE0ELIS","DE0EHOH","80.0"
"DE0ESON","DE0EEHG","80.0"
"DE00EEK","DE0ESCA","50.0"
"DE00ENL","DE00FWA","70.0"
"DE00FSR","DE0FCOE","80.0"
"DE00FWA","DE0FBIZ","80.0"
"DE0EDAB","DE0EHIL","60.0"
"DE0EFER","DE0EKRD","60.0"
"DE0EFEU","DE0ELSP","70.0"
"DE0EHIB","DE0EVRO","60.0"
"DE0EHIL","DE0ESKA","60.0"
"DE0EKRD","DE0EDAB","60.0"
"DE0ELEI","DE0EOBW","70.0"
"DE0ELSP","DE00ENL","70.0"
"DE0ELUZ","DE00EEK","60.0"
"DE0EOBW","DE0EFEU","70.0"
"DE0ESCA","DE0ELEI","60.0"
"DE0ESKA","DE0EHIB","60.0"
"DE0EVRD","DE0ELUZ","60.0"
"DE0EVRO","DE0EVRD","60.0"
"DE0FBIK","DE0FWUE","80.0"
"DE0FBIZ","DE0FBIK","60.0"
"DE0FBNU","DE0FCLD","70.0"
"DE0FCLD","DE0FSZH","70.0"
"DE0FFRD","DE0FBNU","80.0"
"DE0FGOF","DE0FLSR","80.0"
"DE0FLSR","DE00FSR","80.0"
"DE0FSZH","DE0FGOF","80.0"
"DE0FWUE","DE0FFRD","60.0"
"DE96343","DE00EHM","100.0"
"DE0EEDT","DE0HMSU","140.0"
"DE0HDPH","DE0HDOP","140.0"
"DE0HGEE","DE0HMEP","140.0"
"DE0HHKF","DE0HLIG","140.0"
"DE0HHOH","DE0HGEE","140.0"
"DE0HIHV","DE0HLEE","120.0"
"DE0HIHV","DE0HLEE","140.0"
"DE0HLAT","DE0HDPH","140.0"
"DE0HLED","DE0HHKF","140.0"
"DE95621","DE0HLED","140.0"
"DE96538","DE0HHAR","140.0"
"DE00HLE","DE0HASD","140.0"
"DE0EDRS","DE0ERIK","160.0"
"DE0EFMK","DE0EBCK","160.0"
"DE0EHIT","DE0ELEC","160.0"
"DE0ENHF","DE0ESPR","140.0"
"DE0ERFE","DE0EEDT","140.0"
"DE0ERIK","DE0EHIT","160.0"
"DE0ESPR","DE0EGRV","140.0"
"DE0HASD","DE0HPAP","120.0"
"DE0HASD","DE0HPAP","140.0"
"DE0HDOP","DE00HLE","140.0"
"DE0HODU","DE95303","140.0"
"DE0HPAP","DE0HIHV","120.0"
"DE0HPAP","DE0HIHV","140.0"
"DE0HSAL","DE95621","140.0"
