"source","target","sectionspeed"
"SEÅg","SEMdl","135.0"
"SEÅg","SEEi","130.0"
"SEÅgy","SEMdl","100.0"
"SEDöl","SEHdn","200.0"
"SEVl","SESmå","150.0"
"SEHnb","SEÖbn","140.0"
"SEHnn","SEHnb","140.0"
"SEÅh","SEJb","105.0"
"SEDy","SEBsb","180.0"
"SEBä","SEStv","160.0"
"SEBä","SEBön","110.0"
"SEÖr","SEHsa","110.0"
"SESnt","SEOmb","115.0"
"SEÄbg","SEFgc","100.0"
"SEFs","SEMrs","120.0"
"SEDn","SESkb","120.0"
"SESkb","SEKrn","120.0"
"SEHma","SEKbn","120.0"
"SEKla","SEMs","140.0"
"SEEr","SEFv","140.0"
"SEOmb","SEFgc","120.0"
"SEMdm","SEJho","130.0"
"SEHl","SEBy","125.0"
"SEKrn","SENkt","115.0"
"SEMrs","SEHl","125.0"
"SELmo","SERus","160.0"
"SED","SEÖna","160.0"
"SEAvky","SEHma","120.0"
"SEAvky","SESnb","160.0"
"SEAvky","SEJu","130.0"
"SEMs","SEÖr","140.0"
"SEMot","SEFgl","160.0"
"SEDgn","SEHä","130.0"
"SEKbn","SESnt","120.0"
"SENkt","SESba","115.0"
"SEGo","SED","120.0"
"SEÖna","SEMot","160.0"
"SESkm","SELmo","160.0"
"SESlg","SEFv","115.0"
"SEÅ","SESkm","130.0"
"SEJu","SEFs","130.0"
"SEHsa","SEEr","135.0"
"SETså","SESv","135.0"
"SEJho","SEGo","130.0"
"SEBy","SEDgn","115.0"
"SEFgl","SESkn","160.0"
"SERy","SEAvky","180.0"
"SESba","SESlg","115.0"
"SEFgc","SEDn","130.0"
"SERus","SEMdm","120.0"
"SEHä","SETså","130.0"
"SEKeb","SEHlf","140.0"
"SEGäg","SELa","140.0"
"SEFv","SEVdv","115.0"
"SELsj","SERyg","115.0"
"SERmh","SEGäg","140.0"
"SENka","SEDgö","115.0"
"SERlå","SEKpg","105.0"
"SESv","SEGad","115.0"
"SESv","SEÅh","120.0"
"SEKpg","SEStl","100.0"
"SEKoä","SEFln","120.0"
"SEFln","SEHno","120.0"
"SENvl","SEFb","120.0"
"SEHlf","SEGhyn","140.0"
"SEGad","SEHfr","115.0"
"SELa","SEKhy","120.0"
"SEStl","SEKeb","140.0"
"SEStl","SEGgm","70.0"
"SEFb","SESnv","120.0"
"SEGhyn","SEHlt","135.0"
"SESlnä","SEUly","140.0"
"SEVdv","SELd","120.0"
"SEGgm","SEGg","70.0"
"SERyg","SEKoä","115.0"
"SEGg","SEStl","140.0"
"SEHfr","SELsj","115.0"
"SEHg","SENvl","120.0"
"SEGdl","SESdm","140.0"
"SELd","SESr","120.0"
"SEUly","SERmh","140.0"
"SEVmu","SEKgd","160.0"
"SEHlt","SENka","135.0"
"SEDgö","SEGdl","140.0"
"SEHno","SEOrn","120.0"
"SEKgd","SESv","120.0"
"SESr","SERlå","95.0"
"SESnv","SEVmu","160.0"
"SEOrn","SEDmn","120.0"
"SEKhy","SEGg","120.0"
"SESfl","SEÅl","160.0"
"SEMl","SEErk","160.0"
"SEBäf","SEEd","160.0"
"SEBhs","SEAgb","200.0"
"SEKil","SEEl","160.0"
"SEMon","EU00234","140.0"
"SEVpm","SETbn","200.0"
"SEErk","SESkbl","160.0"
"SEGms","SESgm","160.0"
"SEÄn","SEBhs","200.0"
"SESgm","SEVdb","160.0"
"SEThn","SEVeas","200.0"
"SESkbl","SERås","200.0"
"SESkbl","SEBrl","160.0"
"SEEl","SEVåb","160.0"
"SEDrt","SEBäf","160.0"
"SETbn","SEAlh","200.0"
"SERås","SEDrt","200.0"
"SEÅnm","SEKpm","160.0"
"SEAlh","SEÄn","200.0"
"SEAlh","SELöö","40.0"
"SEBrl","SEFdf","160.0"
"SEVeas","SEVpm","200.0"
"SEÅl","SETöe","160.0"
"SETöe","SEÅnm","160.0"
"SEÖx","SEThn","200.0"
"SEÖx","SEVg","70.0"
"SEFdf","SEBjh","160.0"
"SEBjh","SEÖx","160.0"
"SEKpm","SEMl","160.0"
"SEEd","SEMon","160.0"
"SEVdb","SEByä","160.0"
"SEByä","SESfl","70.0"
"SERyr","SEÖx","140.0"
"SEVåb","SEGms","160.0"
"SEVe","SESrr","200.0"
"SEBjb","SEHöja","200.0"
"SEHbd","SEBu","160.0"
"SEKhn","SEÖl","200.0"
"SEOt","SEÅt","140.0"
"SESdm","SEKil","140.0"
"SEBof","SESrt","40.0"
"SESrt","SEBjb","190.0"
"SEBu","SEEn","160.0"
"SEEn","SEAr","140.0"
"SESån","SEKil","160.0"
"SEHs","SESvå","200.0"
"SEÅt","SECg","160.0"
"SESvå","SEDg","180.0"
"SECg","EU00235","160.0"
"SESrr","SEKvä","195.0"
"SEDg","SESrt","160.0"
"SEÖl","SEVe","200.0"
"SEAr","SEOt","160.0"
"SEFgå","SEHbd","160.0"
"SEKud","SESån","160.0"
"SEKs","SESkr","160.0"
"SEKil","SEBäb","90.0"
"SEKil","SEFgå","160.0"
"SEKvä","SEKs","135.0"
"SEHöja","SEKhn","200.0"
"SESkr","SEKud","160.0"
"SEVto","SEPt","130.0"
"SEÄtk","SEHbgb","110.0"
"SEVöv","SEÖnd","160.0"
"SEHyl","SEKl","130.0"
"SEKäb","SEÅp","130.0"
"SEÅp","SEAal","120.0"
"SEÅp","SEBjuv","130.0"
"SEÖnd","SEKap","160.0"
"SEFin","SETy","115.0"
"SEKl","SEKvi","130.0"
"SEÄ","SEÅp","130.0"
"SECr","SECrs","40.0"
"SECr","SECrgb","40.0"
"SEKvi","SEKäb","130.0"
"SEPåa","SEÄtk","130.0"
"SEAal","SEHlp","120.0"
"SECrgb","SEFki","160.0"
"SEKap","SECr","130.0"
"SEMör","SEPåa","130.0"
"SEPt","SEHyl","130.0"
"SETy","SEVto","130.0"
"SEBjuv","SEMör","130.0"
"SEAtp","SEVöv","160.0"
"SEBry","SEJö","160.0"
"SEFm","SEKröb","150.0"
"SEHo","SEBry","160.0"
"SEJö","SEHka","140.0"
"SEJö","SEJögb","75.0"
"SETh","SEFm","160.0"
"SESm","SEMu","160.0"
"SEVf","SESm","160.0"
"SEKröb","SEÄng","160.0"
"SEHka","SETh","160.0"
"SEMu","SEHo","150.0"
"SEVg","SEVag","110.0"
"SEGop","SEHåp","110.0"
"SEFra","SENosk","110.0"
"SEHåp","SEVaa","160.0"
"SELju","SEBoa","110.0"
"SEBoa","SEFra","110.0"
"SEVaa","SEVed","160.0"
"SEUv","SERyr","140.0"
"SEUv","SEMkl","90.0"
"SEVag","SEGop","110.0"
"SETtu","SEVån","200.0"
"SEFv","SEFeb","120.0"
"SEKän","SEBrny","200.0"
"SEArb","SEVsg","160.0"
"SESub","SEDuo","130.0"
"SEEko","SEGib","200.0"
"SEVån","SEVå","200.0"
"SEBkb","SEJkb","180.0"
"SEÅlg","SEJbk","120.0"
"SEEp","SELub","200.0"
"SETot","SEBål","200.0"
"SEKhä","SEKän","200.0"
"SEVsg","SEKp","160.0"
"SEBål","SEEko","200.0"
"SEBro","SETot","200.0"
"SEVåv","SEDt","200.0"
"SEJkb","SEKhä","166.25"
"SEBrny","SEBro","200.0"
"SEVå","SEVåv","140.0"
"SEGib","SEEp","190.0"
"SEJbk","SEArb","200.0"
"SEJbk","SEÖa","200.0"
"SEKbä","SEHh","140.0"
"SEKbä","SEMorp","160.0"
"SEFeb","SEÅlg","120.0"
"SEAä","SEHsa","200.0"
"SEDuo","SESpå","130.0"
"SEDt","SEKbä","200.0"
"SELub","SETtu","200.0"
"SEÖa","SEAä","200.0"
"SEMorp","SEKp","160.0"
"SESpå","SEBkb","180.0"
"SELg","SEGru","200.0"
"SEKju","SEEt","200.0"
"SEKör","SEVsg","160.0"
"SENkv","SERyb","200.0"
"SEEt","SEFok","180.0"
"SESgs","SEHäd","200.0"
"SEAlä","SENkv","200.0"
"SEHäd","SEBva","200.0"
"SERyb","SELg","200.0"
"SEMby","SESgs","200.0"
"SEÅks","SEGru","40.0"
"SEBva","SEKju","200.0"
"SEFok","SESnl","40.0"
"SEFok","SERke","160.0"
"SEGru","SEMby","200.0"
"SERke","SEKör","160.0"
"SERke","SEKsu","140.0"
"SEKsu","SESsh","135.0"
"SESii","SEFsö","80.0"
"SEBgv","SEHål","120.0"
"SEVre","SESii","100.0"
"SEHål","SESkrp","120.0"
"SETb","SERt","130.0"
"SETb","SEVån","130.0"
"SEFle","SEFsö","60.0"
"SEOxd","SENks","80.0"
"SEHnä","SEBgv","90.0"
"SENks","SEVre","80.0"
"SENks","SENk","40.0"
"SEFsö","SEMlö","90.0"
"SESsh","SEKbä","140.0"
"SESkrp","SEEt","90.0"
"SEMlö","SEHnä","90.0"
"SEHfa","SETs","160.0"
"SEVhe","SEJbo","140.0"
"SEJbo","SEHnd","140.0"
"SESsä","SEHfa","160.0"
"SEHnd","SESkg","140.0"
"SEKng","SEÖso","160.0"
"SENyc","SEKng","160.0"
"SEHön","SEÄs","140.0"
"SEÖso","SESsä","140.0"
"SETs","SEVhe","160.0"
"SEFas","SEHön","140.0"
"SESkg","SEFas","120.0"
"SEStv","SEGö","160.0"
"SEÄfs","SEMi","130.0"
"SEPl","SEBf","160.0"
"SELjun","SEFt","125.0"
"SEMi","SEJpn","130.0"
"SESfn","SEFax","130.0"
"SETåv","SEMa","130.0"
"SEFax","SENä","130.0"
"SETöv","SENta","160.0"
"SEÅre","SEDu","130.0"
"SEOpe","SEÖs","160.0"
"SEEi","SECas","130.0"
"SEStr","EU00236","80.0"
"SEVisk","SEStd","120.0"
"SEUn","SEÅre","130.0"
"SEEns","SEStr","140.0"
"SENsö","SEVm","120.0"
"SEMa","SEÄfs","130.0"
"SEFt","SETo","130.0"
"SECas","SEJbg","130.0"
"SEDu","SEÅnn","130.0"
"SEÅnn","SEEns","140.0"
"SEJbg","SELjun","115.0"
"SEVm","SETöv","140.0"
"SEKroj","SESfn","120.0"
"SEJpn","SEUn","130.0"
"SEÖs","SEÅkt","80.0"
"SEÖs","SEHmfs","120.0"
"SEHmfs","SEKroj","120.0"
"SEFkr","SEBf","80.0"
"SEBf","SEOpe","160.0"
"SENä","SETåv","140.0"
"SEStd","SENsö","85.0"
"SETo","SEVisk","120.0"
"SEGö","SEPl","150.0"
"SEGrs","SEStä","135.0"
"SELkä","SENb","135.0"
"SEFjå","SELab","135.0"
"SEHåk","SEHar","115.0"
"SESbk","SEKpe","110.0"
"SEGlt","SELkä","110.0"
"SETnk","SESbk","110.0"
"SEHar","SEFjå","135.0"
"SERut","SERsn","120.0"
"SERsn","SEBfs","130.0"
"SERsi","SEApt","80.0"
"SERsi","SEKia","160.0"
"SERps","SEHrt","125.0"
"SEStk","SELin","135.0"
"SESoa","SEAk","120.0"
"SEPj","SEGv","80.0"
"SETet","SEMk","135.0"
"SENb","SETet","135.0"
"SEKlv","SENrt","135.0"
"SELså","SEGrs","135.0"
"SEKmb","SEPea","100.0"
"SEBln","SEKå","90.0"
"SEApt","SEMtn","80.0"
"SEAk","SEBln","90.0"
"SENtv","SEKlv","125.0"
"SENrt","SERps","135.0"
"SEKpe","SESoa","120.0"
"SEVj","EU00237","80.0"
"SEKå","SEVj","90.0"
"SEKx","SERsi","100.0"
"SEKv","SERut","130.0"
"SEMk","SEPc","120.0"
"SEKia","SEPea","160.0"
"SEHfs","SELså","135.0"
"SEStä","SEGlt","135.0"
"SEGy","SEKx","115.0"
"SEBfs","SETnk","100.0"
"SEKva","SENtv","135.0"
"SELin","SEHåk","135.0"
"SEMtn","SEPii","80.0"
"SEPea","SEKv","130.0"
"SEPc","SEKva","135.0"
"SELab","SEGy","135.0"
"SEHrt","SEKaa","125.0"
"SEKaa","SEGv","100.0"
"SEGv","SEStk","125.0"
"SEGv","SEKos","70.0"
"SESo","SEUdl","144.0"
"SETmö","SESo","143.33333333333334"
"SETmö","SESod","90.0"
"SETmö","SEHuv","90.0"
"SESci","SESst","80.0"
"SEÄsg","SEÄs","70.0"
"SEÅbe","SEÄsg","70.0"
"SEÅbe","SEÄs","116.0"
"SESst","SEÅbe","90.0"
"SESod","SESci","80.0"
"SEUdl","SEHel","170.0"
"SEÄs","SEHu","145.0"
"SECst","SESst","80.0"
"SECst","SEKe","68.57142857142857"
"SEKe","SETmö","106.66666666666667"
"SEHuv","SESub","90.0"
"SEGro","SEAm","105.0"
"SEGro","SEG","60.0"
"SEGsv","SEOr","55.0"
"SEGk","SEPöb","40.0"
"SEGk","SESve","140.0"
"SEGbm","SEGk","40.0"
"SEGbm","SEOr","106.66666666666666"
"SEPöb","SEGsh","40.0"
"SEP","SESel","165.0"
