"source","target","sectionspeed"
"FR9900001898","FR0000009191","40.0"
"FR0000008117","FR9900001764","40.0"
"FR0000008025","FR9900001415","40.0"
"FR0000008809","FR0000008540","40.0"
"FR0000008540","FR0000008117","40.0"
"FR0000008408","FR0000006355","40.0"
"FR0000001081","FR9900001898","40.0"
"FR0000011328","FR0000007597","40.0"
"FR0000006355","FR0000007946","40.0"
"FR0000007946","FR0000011328","40.0"
"FR0000001341","FR0000001571","40.0"
"FR0000001571","FR0000008408","40.0"
"FR9900001415","FR0000001081","40.0"
"FR0000015067","FR0000002034","40.0"
"FR0000000786","FR0000001057","40.0"
"FR0000001057","FR0000009102","40.0"
"FR0000009102","FR0000015067","40.0"
"FR0000006463","FR0000011482","40.0"
"FR0000000006","FR9900001899","40.0"
"FR0000011482","FR0000007116","40.0"
"FR0000007278","FR0000002071","40.0"
"FR0000007116","FR0000007278","40.0"
"FR0000014013","FR0000006463","40.0"
"FR9900001899","FR0000008317","40.0"
"FR0000008317","FR0000014013","40.0"
"FR9900003245","FR9900003508","320.0"
"FR0000001564","FR9900003245","223.33333333333331"
"FR9900002160","FR9900003246","82.0"
"FR0000001452","FR9900002160","160.0"
"FR0000000610","FR0000001564","320.0"
"FR9900003246","FR0000000610","320.0"
"FR0000000610","FR0000001036","130.0"
"FR9900003508","FR0000001342","160.0"
"FR9900003560","FR0000010543","30.0"
"FR0000005766","FR0000007664","60.0"
"FR0000007664","FR9900003560","30.0"
"FR0000010543","FR0000009325","30.0"
"FR0000009325","FR0000015359","30.0"
"FR0000015359","FR0000007186","30.0"
"FR0000007186","FR0000000006","30.0"
"FR0000002034","FR0000005766","60.0"
"FR0000001480","FR9900003758","30.0"
"FR0000022991","FR0000000142","30.0"
"FR0000000076","FR0000022991","30.0"
"FR0000009759","FR0000007351","30.0"
"FR0000000142","FR9900003792","30.0"
"FR0000000131","FR0000000076","30.0"
"FR0000004304","FR0000000456","30.0"
"FR0000007351","FR0000004304","30.0"
"FR0000001798","FR0000006758","120.0"
"FR0000001609","FR0000007864","120.0"
"FR0000006758","FR0000014021","120.0"
"FR0000001480","FR0000008575","120.0"
"FR0000014021","FR0000000495","120.0"
"FR0000004304","FR0000014085","120.0"
"FR0000000566","FR0000005981","120.0"
"FR0000003400","FR0000007391","120.0"
"FR0000014359","FR0000008728","120.0"
"FR0000002992","FR0000004069","120.0"
"FR0000014085","FR0000000456","120.0"
"FR9900004657","FR0000005678","120.0"
"FR0000009168","FR0000003400","120.0"
"FR0000000456","FR9900004657","120.0"
"FR0000004775","FR0000001798","120.0"
"FR0000005981","FR0000000092","120.0"
"FR0000008321","FR0000004775","120.0"
"FR0000008575","FR0000014359","120.0"
"FR0000004059","FR0000006781","120.0"
"FR0000000092","FR0000006457","120.0"
"FR0000010836","FR0000003809","120.0"
"FR0000007864","FR0000000566","120.0"
"FR0000005984","FR0000010836","120.0"
"FR0000005678","FR0000001480","120.0"
"FR0000003771","FR0000002992","120.0"
"FR0000011471","FR0000004304","120.0"
"FR0000012744","FR0000001986","120.0"
"FR0000006457","FR0000008450","120.0"
"FR0000002959","FR0000012744","120.0"
"FR0000008450","FR0000008372","120.0"
"FR0000001986","FR0000005119","120.0"
"FR0000008372","FR0000011471","120.0"
"FR0000007391","FR0000002959","120.0"
"FR0000005119","FR0000005984","120.0"
"FR0000006781","FR0000009168","120.0"
"FR0000003809","FR0000003771","120.0"
"FR0000000495","FR0000000043","120.0"
"FR0000004069","FR0000008321","120.0"
"FR0000008728","FR9900001901","120.0"
"FR9900001901","FR0000005420","120.0"
"FR0000005420","FR0000004059","120.0"
"FR0000001059","FR0000000566","90.0"
"FR0000004383","FR0000015244","30.0"
"FR0000007232","FR9900003441","40.0"
"FR0000015748","FR0000007232","40.0"
"FR0000010337","FR0000015748","40.0"
"FR0000015244","FR0000001365","30.0"
"FR0000001365","FR9900003752","30.0"
"FR0000009620","FR0000010337","40.0"
"FR0000009806","FR9900002016","40.0"
"FR9900002016","FR0000005616","40.0"
"FR9900003441","FR0000009416","40.0"
"FR0000009416","FR0000006093","40.0"
"FR0000006093","FR0000004085","40.0"
"FR0000005616","FR0000009620","40.0"
"FR0000004085","FR0000000259","40.0"
"FR9900001439","FR9900001119","30.0"
"FR0000014209","FR9900001439","30.0"
"FR0000008456","FR0000014209","30.0"
"FR9900001348","FR0000007823","40.0"
"FR0000000872","FR0000008456","40.0"
"FR0000007823","FR0000006309","40.0"
"FR0000000763","FR0000006789","40.0"
"FR0000006789","FR9900001348","40.0"
"FR0000006309","FR0000000872","40.0"
"FR9900003495","FR0000001592","110.0"
"FR0000000633","FR0000010102","150.0"
"FR0000001791","FR0000000228","100.0"
"FR0000005448","FR0000000633","150.0"
"FR0000001191","FR0000001791","100.0"
"FR0000000749","FR0000008968","110.0"
"FR0000010102","FR0000000749","150.0"
"FR0000000228","FR0000005655","105.0"
"FR0000005655","FR0000010387","105.0"
"FR0000010387","FR0000003741","105.0"
"FR0000008968","FR0000001191","100.0"
"FR0000008803","FR0000002107","105.0"
"FR0000008240","FR0000004230","120.0"
"FR0000001282","FR0000005619","100.0"
"FR0000009013","FR0000001282","105.0"
"FR0000001970","FR0000008240","100.0"
"FR0000007592","FR0000001970","95.0"
"FR0000001592","FR0000007592","90.0"
"FR0000005619","FR0000004383","100.0"
"FR0000000199","FR0000001592","90.0"
"FR0000000763","FR0000007058","100.0"
"FR0000004383","FR0000000763","100.0"
"FR0000001365","FR0000005448","150.0"
"FR0000004230","FR0000007643","120.0"
"FR0000007643","FR0000013907","120.0"
"FR0000007058","FR0000001365","100.0"
"FR0000000963","FR0000008803","120.0"
"FR0000013907","FR0000000963","120.0"
"FR0000002107","FR0000009013","110.0"
"FR9900003568","FR0000012952","60.0"
"FR0000012952","FR9900001082","60.0"
"FR9900001152","FR9900000764","100.0"
"FR9900001190","FR9900001152","100.0"
"FR9900001210","FR9900001574","100.0"
"FR9900001509","FR9900001210","100.0"
"FR9900001843","FR9900000773","100.0"
"FR9900000773","FR9900003622","90.0"
"FR9900000764","FR9900001843","100.0"
"FR0000000963","FR0000007811","100.0"
"FR0000006254","FR9900001190","100.0"
"FR9900000350","FR9900001509","100.0"
"FR0000007811","FR9900001392","100.0"
"FR9900001574","FR9900001151","100.0"
"FR9900001372","FR0000006254","100.0"
"FR9900001151","FR9900001372","100.0"
"FR9900001392","FR9900001697","100.0"
"FR9900001697","FR9900001228","100.0"
"FR9900001228","FR9900000350","100.0"
"FR0000001292","FR0000003642","40.0"
"FR0000003642","FR0000002900","56.66666666666667"
"FR0000002900","FR0000000564","65.0"
"FR0000003642","FR0000000748","90.0"
"FR9900003063","FR9900001171","40.0"
"FR9900001582","FR0000003642","90.0"
"FR0000007791","FR9900001212","40.0"
"FR9900001171","FR9900000628","40.0"
"FR0000000748","FR9900001007","90.0"
"FR9900000628","FR9900000353","40.0"
"FR9900001199","FR0000003333","90.0"
"FR0000003353","FR9900001453","90.0"
"FR9900001453","FR9900001553","90.0"
"FR9900001553","FR9900001582","90.0"
"FR0000004638","FR9900003580","40.0"
"FR9900003580","FR0000007791","40.0"
"FR9900000353","FR0000004638","40.0"
"FR0000003333","FR9900001154","40.0"
"FR9900001129","FR0000001048","80.0"
"FR9900001154","FR9900003063","40.0"
"FR9900001007","FR9900001199","90.0"
"FR0000001048","FR0000003353","80.0"
"FR9900001212","FR9900003603","40.0"
"FR0000000748","FR0000001292","46.666666666666664"
"FR0000008712","FR0000004846","110.0"
"FR0000004846","FR0000001477","110.0"
"FR0000005155","FR0000005597","125.0"
"FR0000006452","FR9900002465","130.0"
"FR9900002465","FR0000003936","140.0"
"FR0000001477","FR0000001742","110.0"
"FR0000005785","FR0000004430","110.0"
"FR0000003936","FR0000003499","140.0"
"FR9900002867","FR0000005155","125.0"
"FR0000001742","FR0000005785","110.0"
"FR0000006000","FR9900003016","140.0"
"FR0000005239","FR0000007398","95.0"
"FR0000005554","FR0000009085","120.0"
"FR0000009085","FR0000003680","120.0"
"FR0000007398","FR0000003808","95.0"
"FR0000003808","FR0000005816","120.0"
"FR0000005816","FR9900002863","120.0"
"FR0000004430","FR0000001293","110.0"
"FR9900002863","FR0000008712","116.66666666666667"
"FR0000005597","FR0000006452","120.0"
"FR0000003680","FR0000008277","120.0"
"FR9900003016","FR0000003492","80.0"
"FR0000001251","FR0000003678","120.0"
"FR0000008225","FR9900002867","130.0"
"FR0000009387","FR9900002493","140.0"
"FR0000001168","FR0000005571","140.0"
"FR0000001703","FR0000000230","95.0"
"FR0000001069","FR0000001703","110.0"
"FR0000003499","FR0000003777","140.0"
"FR9900002526","FR0000008348","95.0"
"FR0000003492","FR9900002526","80.0"
"FR0000000230","FR0000005239","95.0"
"FR0000000171","FR0000001168","140.0"
"FR0000006760","FR0000000171","140.0"
"FR9900002962","FR0000008225","125.0"
"FR0000003678","FR0000002178","120.0"
"FR0000005571","FR0000006000","140.0"
"FR0000003777","FR0000009387","140.0"
"FR0000008348","FR0000001069","110.0"
"FR9900002493","FR0000006482","140.0"
"FR0000022997","FR0000001251","130.0"
"FR0000006482","FR0000006760","140.0"
"FR0000008277","FR9900002962","120.0"
"FR0000002178","FR0000005554","120.0"
"FR0000014999","FR9900001101","40.0"
"FR0000001477","FR0000009057","40.0"
"FR0000009057","FR0000014999","40.0"
"FR0000010934","FR0000000296","30.0"
"FR0000015914","FR0000003237","30.0"
"FR0000003237","FR0000010934","30.0"
"FR0000000296","FR0000008999","30.0"
"FR9900001438","FR0000016010","30.0"
"FR0000014928","FR9900001438","30.0"
"FR0000007589","FR0000014928","30.0"
"FR0000008999","FR0000007589","30.0"
"FR0000005234","FR0000003956","90.0"
"FR0000009605","FRZZY0000002","40.0"
"FR0000001267","FR0000000655","90.0"
"FR0000005871","FR0000002915","40.0"
"FR0000000655","FR0000003198","90.0"
"FR0000003198","FR0000009174","90.0"
"FR0000009174","FR0000000553","90.0"
"FR0000000553","FR0000002164","90.0"
"FR0000001069","FR0000001267","90.0"
"FR0000002164","FR0000005234","90.0"
"FR0000003956","FR0000001416","90.0"
"FR0000001416","FR0000005871","90.0"
"FR0000002915","FR0000009605","40.0"
"FR0000000553","FR0000004358","90.0"
"FR0000007413","FR0000012774","90.0"
"FR0000006692","FR0000001046","90.0"
"FR0000004358","FR0000004109","90.0"
"FR0000003380","FR0000004136","90.0"
"FR0000004136","FR0000007991","90.0"
"FR0000007991","FR0000006692","90.0"
"FR0000001038","FR0000002443","90.0"
"FR0000004458","FR0000001038","90.0"
"FR0000002443","FR0000003380","90.0"
"FR0000012774","FR0000004458","90.0"
"FR0000001046","FR9900002108","90.0"
"FR0000004109","FR0000003962","90.0"
"FR0000003962","FR0000007413","90.0"
"FR9900002108","FR0000000278","90.0"
"FR9900004520","FR0000000278","60.0"
"FR9900004534","FR0000003177","120.0"
"FR0000003177","FR0000004810","120.0"
"FR0000004810","FR0000006636","120.0"
"FR0000009572","FR9900004524","120.0"
"FR9900004524","FR0000003458","60.0"
"FR0000006350","FR9900004534","120.0"
"FR0000003458","FR9900004520","60.0"
"FR0000006636","FR0000009572","120.0"
"FR0000008309","FR0000006350","120.0"
"FR0000003334","FR9900004525","80.0"
"FR0000005647","FR9900004529","120.0"
"FR0000005170","FR0000003027","120.0"
"FR0000003027","FR0000007515","120.0"
"FR0000007515","FR0000002969","120.0"
"FR0000002969","FR0000001235","120.0"
"FR0000001235","FR0000003068","120.0"
"FR0000003068","FR0000002453","120.0"
"FR0000002453","FR0000009452","120.0"
"FR0000009452","FR0000007963","120.0"
"FR0000007963","FR0000009559","120.0"
"FR0000005957","FR0000004697","120.0"
"FR0000009559","FR9900004522","120.0"
"FR9900004522","FR9900004527","80.0"
"FR9900004527","FR0000003334","80.0"
"FR9900004541","FR0000005957","120.0"
"FR9900004525","FR0000005647","80.0"
"FR9900004529","FR0000008309","120.0"
"FR0000004816","FR0000005170","120.0"
"FR0000004697","FR0000004816","120.0"
"FR0000022895","FR0000008533","150.0"
"FR0000009607","FR0000007830","150.0"
"FR0000011546","FR0000003295","150.0"
"FR0000009592","FR0000007527","120.0"
"FR0000006522","FR0000008678","160.0"
"FR0000002564","FR0000006770","140.0"
"FR0000004477","FR0000010733","150.0"
"FR0000013572","FR0000002564","140.0"
"FR0000003982","FR0000005642","125.0"
"FR0000007987","FR0000013572","140.0"
"FR0000001275","FR0000007403","140.0"
"FR0000001281","FR0000003353","120.0"
"FR0000002945","FR0000007329","160.0"
"FR0000000570","FR0000005358","140.0"
"FR0000001059","FR0000000941","116.66666666666667"
