"source","target","sectionlength"
"DE00ASP","DE0ABLZ","4.7"
"DE0AROG","DE00ASL","9.5"
"DE00ASL","DE0ALUB","5.6"
"DE0ATST","DE00ASP","6.8"
"DE0ALUB","DE0ATST","14.1"
"DE0ASTE","DE95190","3.7"
"DEAAH A","DE00AAH","0.1"
"DE95141","DE0AERI","1.4"
"DE95204","DE95141","1.6"
"DE0ANEB","DE0AERI","1.4"
"DE0AHBR","DE0AHBG","0.4"
"DE95210","DE0HBWG","0.2"
"DE00ADO","DE00ANZ","10.8"
"DE0HBHP","DE0AWRE","8.2"
"DE00ANZ","DE95216","11.0"
"DE0AWRE","DE00ADO","6.0"
"DE0HBHP","DE0HSPG","0.0"
"DE0HBSB","DE0HBAW","1.7"
"DE95226","DE95222","0.1"
"DE95232","DEHBR V","0.1"
"DE0HVAH","DE000HB","3.1"
"DE00HBR","DEHBR A","0.6"
"DE95222","DE00HBR","1.4"
"DEHBR A","DE95229","1.7"
"DE95236","DE0HVAH","2.0"
"DE000HB","DE95226","2.3"
"DE95229","DE95232","1.1"
"DE0HHAT","DE0HVAH","1.8"
"DE00HGA","DE0ASAG","11.7"
"DE95222","DE00HBR","4.6"
"DE95250","DE95226","1.7"
"DE95254","DEHBR V","2.2"
"DEHBR A","DE95254","1.4"
"DE95229","DE95256","3.2"
"DE95256","DE0HBLG","0.1"
"DE0HBSC","DE00HBV","1.3"
"DE00HBL","DE0HBMG","1.1"
"DE0HBMG","DE0HBSC","1.4"
"DE00HBB","DE00HBL","1.9"
"DE95260","DE95232","1.4"
"DE0HUTB","DE95260","4.2"
"DE95256","DE0HBRG","0.1"
"DE95254","DE95260","1.1"
"DE95263","DE0HHMG","1.3"
"DE0HOLD","DE95263","0.9"
"DE0HSCB","DE0HHOY","2.1"
"DE00HBN","DE95250","1.2"
"DE95250","DE000HB","1.4"
"DE0HHUD","DE0HBHB","5.1"
"DE95251","DE00HBN","1.3"
"DE000HD","DE0HHEI","3.4"
"DE0HBHB","DE0HSCB","3.6"
"DE0HHMG","DE0HWUE","5.9"
"DE0HHEI","DE95251","6.4"
"DE0HHOY","DE000HD","3.2"
"DE0HWUE","DE0HHUD","8.5"
"DE95274","DE0HHES","0.5"
"DE0HHAL","DE95280","4.8"
"DE95280","DE00HOE","1.2"
"DE0HHES","DE0HBRM","3.2"
"DE0HHOE","DE0HCLP","6.2"
"DE000HQ","DE95279","13.8"
"DE0HOLO","DE0HOLT","1.3"
"DE0HSAK","DE0HHUL","7.4"
"DE95263","DE0HOLO","1.4"
"DE0HOLT","DE0HSAK","6.9"
"DE95279","DE0HBBR","0.2"
"DE0HBRM","DE0HAMR","3.7"
"DE0HHUL","DE0HGRK","5.4"
"DE0HCLP","DE0HBMA","11.8"
"DE0HGRK","DE0HAHO","5.7"
"DE0HAMR","DE0HHAL","5.9"
"DE0HBMA","DE0HESN","3.6"
"DE0HAHS","DE95274","6.6"
"DE0HAHO","DE0HHOE","6.0"
"DE0HESN","DE000HQ","6.1"
"DE0HBBR","DE0HAHS","5.5"
"DE00HNO","DE0HFAH","2.6"
"DE0HHWD","DE0HKHW","3.1"
"DE0HRDK","DE0HKSI","5.3"
"DE0HKHW","DE0HBKE","2.6"
"DE0HELS","DE0HHWD","5.1"
"DE0HHUD","DE0HNKP","4.4"
"DE0HKSI","DE00HNO","4.5"
"DE0HGZW","DE0HRDK","5.9"
"DE0HNKP","DE0HBER","4.3"
"DE0HBER","DE0HELS","6.1"
"DE0HBKE","DE0HGZW","2.4"
"DE0HESN","DE0HEOG","0.0"
"DE0HHMG","DE0HOLT","2.4"
"DE95283","DE0HOLW","2.2"
"DE0HZWI","DE0HOCH","8.2"
"DE0HSVL","DE0HNTM","8.0"
"DE0HOCH","DE0HAUG","8.7"
"DE0HNTM","DE0HLEE","7.4"
"DE0HAUG","DE0HSVL","7.4"
"DE0HKHF","DE0HZWI","4.0"
"DE0HOLW","DE0HKHF","8.2"
"DE0HOCG","DE0HOCH","0.4"
"DE0HCLP","DE0HCLG","0.0"
"DE00HVA","DE0HSAN","14.3"
"DE0HJAH","DE00HVA","6.8"
"DE00HWW","DE000HW","2.0"
"DE95283","DE0HOFD","4.8"
"DE0HOFD","DE0HNSE","3.1"
"DE0HJAD","DE0HJAH","0.9"
"DE0HSAN","DE00HWW","5.3"
"DE0HOLD","DE95283","0.8"
"DE0HNSE","DE0HRST","3.5"
"DE0HRST","DE0HJAD","10.8"
"DE00HWF","DE0HHDM","3.3"
"DE0HHDM","DE000HJ","4.6"
"DE0HSAN","DE00HWF","5.8"
"DE00HWF","DE0HACC","1.7"
"DE0HWOE","DE0HWNG","4.7"
"DE0HACC","DE0HWOE","9.0"
"DE0HWOE","DE0HWMG","0.1"
"DE0HWOE","DE0HWJG","0.6"
"DE0HWIH","DE0HRFD","7.2"
"DE000HD","DE0HGKE","6.5"
"DE0HMLN","DE0HSFD","3.0"
"DE0HRFD","DE0HGOL","4.2"
"DE0HBRT","DE0HWIH","8.1"
"DE0HLTT","DE0HVCS","4.0"
"DE0HHDF","DE0HNKO","9.4"
"DE0HVCS","DE0HVCH","2.7"
"DE0HVCH","DE0HLON","8.1"
"DE0HRIE","DE95274","5.5"
"DE0HNKO","DE0HRIE","4.2"
"DE0HGOL","DE0HLTT","5.2"
"DE0HLON","DE0HMLN","5.4"
"DE0HGKE","DE0HBRT","10.0"
"DE0HSFD","DE0HHDF","4.5"
"DE0HDSU","DE00HDG","0.1"
"DE95303","DE00HER","0.9"
"DE0HABZ","DE0HMAR","7.4"
"DE0HWTM","DE000HJ","7.3"
"DE00HNN","DE95302","0.5"
"DE0HBUR","DE0HWTM","5.8"
"DE95302","DE0HNNG","0.1"
"DE00HER","DE000HE","1.3"
"DE0HESO","DE0HBUR","7.3"
"DE000HE","DE0HABZ","12.6"
"DE0HMAR","DE00HNN","8.2"
"DE000HE","DE95306","0.5"
"DE95306","DE00HEA","2.6"
"DE00HND","DE0HNDM","0.3"
"DE95302","DE00HND","5.2"
"DE0HIHV","DE0HWEE","8.0"
"DE0HWEE","EU00001","9.6"
"DE95306","DE0HEVG","0.9"
"DE000HO","DE0HSTA","2.6"
"DE95309","DEHO  U","2.1"
