"source","target","sectionspeed"
"NLGD","NLMDO","140.0"
"NLMDA","NLMDO","140.0"
"NLODW","NLGDG","130.0"
"NLMDO","NLNWKI","140.0"
"NLRTNG","NLHLBA","140.0"
"NLHMLA","NLWD","140.0"
"NLHLBA","NLWSPL","140.0"
"NLVK","NLMT","100.0"
"NLSOG","NLVK","100.0"
"NLHRL","NLVK","100.0"
"NLDN","NLHM","160.0"
"NLHM","NLEHV","140.0"
"NLHRT","NLDN","160.0"
"NLBR","NLGKGF","140.0"
"NLVL","NLBR","100.0"
"NLGKGF","NLHRT","140.0"
"NLASB","NLDMNZ","80.0"
"NLZTWO","NLZTWW","130.0"
"NLAPN","NLZTWO","130.0"
"NLWD","NLBDG","140.0"
"NLZTWW","NLLEDN","130.0"
"NLBDG","NLAPN","140.0"
"NLWGMRBA","NLDMNZ","80.0"
"NLWGMRBA","NLGPDA","130.0"
"NLMBGA","NLALMMO","140.0"
"NLWP","NLMBGA","140.0"
"NLALMO","NLLLS","140.0"
"NLALMMO","NLALM","140.0"
"NLALM","NLALMO","140.0"
"NLLLS","NLLLSOA","140.0"
"NLWW","NLATN","100.0"
"NLWL","NLDID","130.0"
"NLTBG","NLDTC","100.0"
"NLATN","NLVSV","100.0"
"NLDTC","NLWL","100.0"
"NLVSV","NLTBG","100.0"
"NLDID","NLZV","120.0"
"NLYPB","NLLDD","40.0"
"NLPMO","NLHN","140.0"
"NLZD","NLZDK","140.0"
"NLBKG","NLEKZ","100.0"
"NLZDK","NLPMO","140.0"
"NLHN","NLHKS","100.0"
"NLHKS","NLBKG","100.0"
"NLZD","NLHMTA","130.0"
"NLZL","NLKPN","100.0"
"NLSWK","NLWV","140.0"
"NLZL","NLDDV","140.0"
"NLAKM","NLLW","140.0"
"NLMP","NLSWK","140.0"
"NLWV","NLHR","140.0"
"NLDDV","NLMP","140.0"
"NLHR","NLAKM","140.0"
"NLRAT","NLNVD","140.0"
"NLHNO","NLRAT","140.0"
"NLNVD","NLWDN","140.0"
"NLZL","NLHNO","140.0"
"NLODB","NLRSD","130.0"
"NLZLW","NLZVB","130.0"
"NLZVB","NLODB","130.0"
"NLRSD","EU00090","125.0"
"NLZLW","NLOTW","40.0"
"NLLR","NLLC","130.0"
"NLES","EU00003","100.0"
"NLHGL","NLES","125.0"
"NLLC","NLGO","130.0"
"NLDDN","NLHGL","130.0"
"NLZP","NLLR","130.0"
"NLGO","NLDDN","130.0"
"NLVD","NLRL","140.0"
"NLRL","NLLTV","140.0"
"NLLTV","NLWW","140.0"
"NLZP","NLVD","140.0"
