"source","target","sectionlength"
"FR0000000566","FR0000005981","7.38"
"FR0000003400","FR0000007391","9.499"
"FR0000014359","FR0000008728","1.821"
"FR0000002992","FR0000004069","3.887"
"FR0000014085","FR0000000456","0.081"
"FR9900004657","FR0000005678","0.489"
"FR0000009168","FR0000003400","0.47"
"FR0000009168","FR0000009619","0.0"
"FR0000000456","FR9900004657","0.216"
"FR0000004775","FR0000001798","0.414"
"FR0000005981","FR0000000092","4.537"
"FR0000008321","FR0000014021","0.0"
"FR0000008321","FR0000004775","0.376"
"FR0000008575","FR0000014359","0.685"
"FR0000004059","FR0000006781","0.255"
"FR0000000092","FR0000006457","1.493"
"FR0000010836","FR0000003809","0.109"
"FR0000007864","FR0000000566","2.605"
"FR0000005984","FR0000010836","0.06"
"FR0000005678","FR0000001480","0.015"
"FR0000003771","FR0000002992","3.567"
"FR0000011471","FR0000004304","0.413"
"FR0000012744","FR0000001986","2.419"
"FR0000006457","FR0000011471","0.0"
"FR0000006457","FR0000008450","0.12"
"FR0000002959","FR0000012744","0.104"
"FR0000008450","FR0000008372","0.03"
"FR0000001986","FR0000005119","6.597"
"FR0000008372","FR0000014085","0.0"
"FR0000008372","FR0000011471","0.585"
"FR0000007391","FR0000012744","0.0"
"FR0000007391","FR0000002959","0.562"
"FR0000005119","FR0000005984","3.474"
"FR0000006781","FR0000009168","3.525"
"FR0000003809","FR0000003771","4.728"
"FR0000000495","FR0000000043","2.556"
"FR0000004069","FR0000008321","4.079"
"FR0000008728","FR9900001901","0.106"
"FR9900001901","FR0000005420","3.537"
"FR0000005420","FR0000004059","5.896"
"FR0000005420","FR0000006297","0.0"
"FR0000001059","FR0000000566","2.667"
"FR0000001282","FR0000022821","0.18"
"FR0000004383","FR0000015244","0.403"
"FR0000007232","FR9900003441","0.62"
"FR0000015748","FR0000007232","2.38"
"FR0000010337","FR0000015748","0.005"
"FR0000015244","FR0000001365","0.131"
"FR0000001365","FR9900003752","0.684"
"FR0000009620","FR0000015748","0.0"
"FR0000009620","FR0000010337","0.825"
"FR0000009806","FR9900002016","0.015"
"FR0000022821","FR0000004383","0.282"
"FR9900002016","FR0000005616","0.454"
"FR9900003441","FR0000009416","2.224"
"FR0000022842","FR0000009238","0.131"
"FR0000009416","FR0000006093","0.011"
"FR0000016615","FR0000022845","1.35"
"FR0000022845","FR0000022842","0.014"
"FR0000022854","FR0000001282","0.048"
"FR0000009238","FR0000015244","0.0"
"FR0000009238","FR0000022854","0.277"
"FR0000006093","FR0000004085","0.145"
"FR0000005616","FR0000010337","0.0"
"FR0000005616","FR0000009620","0.006"
"FR0000004085","FR0000000259","0.019"
"FR9900001439","FR9900001119","0.143"
"FR0000014209","FR9900001439","0.496"
"FR0000008456","FR0000014209","0.584"
"FR9900001348","FR0000007823","0.459"
"FR0000000872","FR0000008456","3.992"
"FR0000007823","FR0000006309","0.566"
"FR0000000763","FR0000006789","0.001"
"FR0000006789","FR9900001348","21.579"
"FR0000006309","FR0000000872","0.635"
"FR9900003495","FR0000001592","1.878"
"FR0000000633","FR0000010102","1.108"
"FR0000001791","FR0000000228","2.519"
"FR0000005448","FR0000000633","0.13"
"FR0000005448","FR0000010102","0.0"
"FR0000001191","FR0000001791","1.807"
"FR0000000749","FR0000008968","0.7"
"FR0000010102","FR0000000749","10.622"
"FR0000000228","FR0000005655","0.033"
"FR0000005655","FR0000010387","0.772"
"FR0000010387","FR0000003741","0.38"
"FR0000008968","FR0000001191","1.22"
"FR0000008803","FR0000002107","20.599"
"FR0000008240","FR0000004230","0.166"
"FR0000008240","FR0000013907","0.0"
"FR0000001282","FR0000005619","0.031"
"FR0000009013","FR0000001282","0.067"
"FR0000001970","FR0000008240","17.809"
"FR0000007592","FR0000001970","0.478"
"FR0000001592","FR0000007592","10.266"
"FR0000005619","FR0000004383","0.431"
"FR0000000199","FR0000001592","1.692"
"FR0000000763","FR0000007058","0.14"
"FR0000004383","FR0000000763","0.113"
"FR0000001365","FR0000005448","23.325"
"FR0000004230","FR0000007643","0.494"
"FR0000007643","FR0000013907","0.275"
"FR0000007058","FR0000001365","0.283"
"FR0000000963","FR0000008803","18.357"
"FR0000013907","FR0000000963","0.126"
"FR0000002107","FR0000009013","0.108"
"FR9900003568","FR0000012952","0.552"
"FR0000007544","FR0000012952","0.0"
"FR0000012952","FR9900001082","0.195"
"FR9900001152","FR9900000773","0.0"
"FR9900001152","FR9900000764","0.07"
"FR9900001190","FR9900001152","0.253"
"FR9900001190","FR9900000764","0.0"
"FR9900001210","FR9900001574","5.566"
"FR9900001509","FR9900001210","0.122"
"FR9900001843","FR9900000773","0.153"
"FR9900000773","FR9900003622","1.229"
"FR9900000764","FR9900001843","0.292"
"FR0000000963","FR0000007811","4.896"
"FR0000006254","FR9900001190","1.687"
"FR9900000350","FR9900001509","0.054"
"FR0000007811","FR9900001392","0.779"
"FR9900001574","FR9900001151","9.203"
"FR9900001372","FR0000006254","3.06"
"FR9900001151","FR9900001372","0.506"
"FR9900001392","FR9900001697","5.115"
"FR9900001697","FR9900001228","5.476"
"FR9900001228","FR9900000350","0.323"
"FR0000001292","FR0000003642","0.165"
"FR0000003642","FR0000002900","19.639"
"FR0000002900","FR0000000564","0.81"
"FR0000003642","FR0000000748","0.61"
"FR9900003063","FR9900001171","0.061"
"FR9900003063","FR9900000628","0.0"
"FR9900001582","FR0000003642","2.231"
"FR0000007791","FR9900001212","0.427"
"FR9900001171","FR9900000628","0.603"
"FR9900001171","FR9900000353","0.0"
"FR0000000748","FR9900001007","0.196"
"FR9900000628","FR9900000353","0.061"
"FR9900001199","FR0000003333","0.573"
"FR0000003353","FR9900001453","3.939"
"FR9900001453","FR9900001553","3.011"
"FR9900001553","FR9900001582","2.785"
"FR0000004638","FR9900003580","2.014"
"FR9900003580","FR0000007791","0.659"
"FR9900000353","FR0000004638","0.87"
"FR0000003333","FR9900001154","0.052"
"FR9900001129","FR0000001048","0.511"
"FR9900001154","FR9900003063","0.245"
"FR9900001007","FR9900001199","0.179"
"FR0000001048","FR0000003353","0.166"
"FR9900001212","FR9900003603","0.757"
"FR0000000748","FR0000001292","0.467"
"FR0000008712","FR0000004846","0.354"
"FR0000008712","FR0000001477","0.0"
"FR0000004846","FR0000001477","0.621"
"FR0000005155","FR0000005597","2.838"
"FR0000006452","FR9900002465","0.232"
"FR9900002465","FR0000003936","0.269"
"FR0000001477","FR0000001742","0.095"
"FR0000005785","FR0000004430","0.093"
"FR0000003936","FR0000003499","4.217"
"FR9900002867","FR0000005155","0.247"
"FR0000001742","FR0000005785","13.347"
"FR0000006000","FR9900003016","0.1"
"FR0000006000","FR9900002526","0.0"
"FR0000005239","FR0000007398","10.507"
"FR0000005554","FR0000009085","0.545"
"FR0000009085","FR0000003680","0.384"
"FR0000009085","FR9900002962","0.0"
"FR0000007398","FR0000003808","0.163"
"FR0000007398","FR9900002863","0.0"
"FR0000003808","FR0000005816","0.108"
"FR0000005816","FR9900002863","0.337"
