TRACK_NUM;DIRECTION;KM_I;KM_L;DESCRIPTION;UNIT_KIND;SHORTCUT;GK_R_DGN;GK_H_DGN;LAT;LONG
1122;0;111840000;118,4 + 0;Priemerwald Sued (ehemals);St;WPWS;3713853,666;5966885,141;53,78908968;12,24417684
1122;0;112900030;129,0 + 30;Lalendorf;St;WLD;3723397,702;5963532,394;53,75501634;12,38631546
1122;0;113660000;136,6 + 0;Neu Wokern;Sp;WNWO;3730920,418;5964453,924;53,76000668;12,50084295
1122;0;114220089;142,2 + 89;Teterow;St;WTE;3735969,123;5965642,456;53,76840606;12,57815313
1122;0;114870079;148,7 + 79;Hohen Mistorf;St o.S.;WHMT;3741640,501;5966348,737;53,77214285;12,66454049
1122;0;115630015;156,3 + 15;Malchin;St;WMA;3748171,359;5963484,154;53,74339475;12,76108327
1122;0;116230000;162,3 + 0;Scharpzow;St o.S.;WSRP;3753427,863;5961119,439;53,71967151;12,83864157
1122;0;116750007;167,5 + 7;Reuterstadt Stavenhagen;St;WRST;3758475,618;5959972,159;53,70691558;12,91397161
1122;0;117370040;173,7 + 40;Grischow (Meckl);St;WGRO;3764270,216;5957659,206;53,68328843;12,99954071
1122;0;118230081;182,3 + 81;Kleeth;St;WKLE;3768672,461;5951201,135;53,62316794;13,06042745
1122;0;118690050;186,9 + 50;Moelln (Meckl);Sp;WMOE;3770498,162;5947152,4;53,58594438;13,08444178
1122;0;119100030;191,0 + 30;Blankenhof;St;WBLH;3774035,198;5945519,423;53,56947682;13,13628183
1122;0;120090038;200,9 + 38;Neubrandenburg;St;WN;3782394,371;5945180,265;53,56201301;13,26180611
1122;0;120160025;201,6 + 25;Neubrandenburg GSt;Stp;WN  G;3783075,771;5945087,66;53,56081679;13,27197724
1122;0;120800045;208,0 + 45;Sponholz;St;WSP;3789297,388;5945807,854;53,56388231;13,3662641
1122;0;121460020;214,6 + 20;Ruehlow;Sp o.S.;WRUE;3795468,473;5944327,858;53,54719258;13,45772353
1122;0;121780066;217,8 + 66;Neetzka;Sp;WNA;3798414,848;5942988,296;53,53353043;13,50076143
1122;0;122290071;222,9 + 71;Oertzenhof;St;WOE;3803321,201;5941572,053;53,51804111;13,57315277
1122;0;122720090;227,2 + 90;Kreckow;St o.S.;WKRE;3807533,272;5940597,67;53,50687185;13,63549264
1122;0;122830050;228,3 + 50;Groß Daberkow;Sp o.S.;WGDW;3808571,291;5940578,949;53,50609721;13,65106782
1122;0;123090070;230,9 + 70;Lauenhagen;St o.S.;WLAH;3810702,898;5942037,286;53,51790389;13,68453102
