"id","extralabel","name","latitude","longitude"
"FR0000006393","DepotOrWorkshop","Faisceau pair","45.9679638","5.8317039"
"FR0000005510","PrivateSiding","NORSK HYDRO AZOTE","48.675936","5.8324485"
"FR0000001191","Junction","Bif 032000/036300","48.6494689","5.836051"
"FR0000008968","DepotOrWorkshop","Faisceau Pair Domgermain","48.6386908","5.8382015"
"FR0000001791","Junction","Bif 070331/070953/032000","48.6656006","5.8387085"
"FR9900001348","FreightTerminal","Châtenois-Dolaincourt","48.3016846","5.8388251"
"FR0000005448","DepotOrWorkshop","Faisceau Pair Barisey-la-Côte","48.5329171","5.8393406"
"FR0000000633","Junction","Bif 032000/041000","48.533952","5.8401463"
"FR0000000749","Junction","Bif 032000/037300","48.6325737","5.8404939"
"FR0000007823","DepotOrWorkshop","Faisceau Impair de Chatenois-Dolaincourt","48.3043513","5.8435599"
"FR0000010102","Junction","Accès à Faisceau Pair Barisey-la-Côte","48.5431621","5.8454444"
"FR0000004575","Station","Chindrieux","45.803362","5.8468577"
"FR0000000574","Junction","Bif 905000/921000","43.8655652","5.8476827"
"FR0000006309","PrivateSiding","ZIA Neuilly","48.306244","5.8506088"
"FR0000003108","Station","Byans","47.1184764","5.8520516"
"FR0000007898","DepotOrWorkshop","Faisceau La Seyne Réception V40 à V46","43.1177157","5.8547792"
"FR0000016603","TechnicalChange","Fin de ligne exploitée","46.3842571","5.8559526"
"FR0000009126","PrivateSiding","Coopadou","47.1980712","5.8562818"
"FR0000013426","Junction","Accès à Faisceau Pair St-Claude","46.3871702","5.8583575"
"FR0000010283","Junction","Accès à Faisceau Impair St-Claude","46.3872247","5.858387"
"FR0000006848","DepotOrWorkshop","Faisceau Impair FA V3 à V27","49.1693401","5.8587587"
"FR0000000872","Junction","Bif 030000/051000","48.3074046","5.8589708"
"FR0000012018","Junction","Accès à Faisceau Impair FA V3 à V27","49.1695165","5.8592163"
"FR0000005581","DepotOrWorkshop","Faisceau Impair St-Claude","46.3898506","5.8600807"
"FR0000003762","Station","St-Claude","46.3900898","5.8602191"
"FR0000007877","DepotOrWorkshop","Faisceau Pair St-Claude","46.3913351","5.8606927"
"FR9900004553","Junction","Technical change","49.1680943","5.8612224"
"FR0000000652","Junction","Bif 085000/095000","49.1680614","5.8614384"
"FR0000001644","Junction","Bif 095000/085000","49.1673798","5.8628871"
"FR0000008475","DepotOrWorkshop","Faisceau vieux Dépot Voie 6 a 14","49.167267","5.8630851"
"FR0000000228","Junction","Jct 032000/070000","48.6763035","5.8651927"
"FR0000005636","DepotOrWorkshop","Faisceau V3 a V9","48.6764856","5.8654634"
"FR0000005655","DepotOrWorkshop","Faisceau Pair","48.6764077","5.8655023"
"FR0000006564","DepotOrWorkshop","Faisceau La Seyne impair","43.115677","5.8675836"
"FR0000004432","Station","Conflans-Jarny","49.1667881","5.8681658"
"FR0000006499","DepotOrWorkshop","Débord V10 à V22","49.1664437","5.870582"
"FR0000013455","Junction","Accès à Faisceau La Seyne Réception V40 à V46","43.1154724","5.8708277"
"FR0000002809","Station","Dannemarie-Velesmes","47.2038582","5.8737396"
"FR0000000240","Junction","Bif 930000/930506","43.1162909","5.8753397"
"FR0000010387","Junction","Accès à Faisceau Pair","48.6781748","5.8753867"
"FR0000002577","Station","La Seyne-Six-Fours","43.1170116","5.8768296"
"FR0000011620","Junction","Accès à Faisceau La Seyne impair","43.1173306","5.8773331"
"FR0000022851","Junction","Accès à Faisceau Impair FA V3 à V27","49.1662455","5.8780456"
"FR0000001788","Junction","Bif 086000/085000","49.1662351","5.8781654"
"FR0000009586","DepotOrWorkshop","Dépôt V24 à V66","49.1660113","5.878777"
"FR0000000386","Junction","Jct 086000/095000","49.1661527","5.8787928"
"FR0000003741","Station","Toul","48.6792067","5.8805261"
"FR0000003291","Station","Lancey","45.2345492","5.880845"
"FR0000001948","Junction","Bif 890000/892000","46.1096387","5.8821541"
"FR0000010362","Junction","Accès à Faisceau V3 a V9","48.6799596","5.8830003"
"FR0000015705","Junction","Accès à Dépôt V24 à V66","49.1649857","5.8834831"
"FR0000016257","TechnicalChange","Fin de ligne","45.5854199","5.8853146"
"FR0000006671","DepotOrWorkshop","Faisceau V1 à V25 de Liart","49.3669721","5.8870976"
"FR9900001151","DepotOrWorkshop","Faisceau Impair Contréxville","48.1756915","5.8872104"
"FR0000005276","PrivateSiding","Embt GEFCO","45.5884322","5.8874205"
"FR0000008301","DepotOrWorkshop","Faisceau impair","44.5603457","5.8875637"
"FR0000007006","PrivateSiding","Embt PLACOPLATRE","45.5878584","5.8877365"
"FR0000007546","PrivateSiding","Embt SATM","45.5878584","5.8877365"
"FR0000006587","PrivateSiding","Embt de la ville de la MOTTE SERVOLEX","45.5898627","5.8884639"
"FR0000007632","PrivateSiding","Embt CASINO FRANCE","45.5898627","5.8884639"
"FR0000009530","PrivateSiding","Sous Embt UNICO","45.5898627","5.8884639"
"FR0000002527","Station","Torpes-Boussières","47.1637347","5.8887041"
"FR9900001372","Station","Contrexéville","48.1796679","5.8905247"
"FR0000008848","PrivateSiding","Embt de la S /Station","43.1286542","5.8908881"
"FR0000004606","Station","Audun-le-Roman","49.3666149","5.891467"
"FR0000012755","Junction","Accès à Faisceau impair","43.9226736","5.8915845"
"FR0000003207","Station","La Brillanne-Oraison","43.9247463","5.8924112"
"FR0000007399","DepotOrWorkshop","Faisceau impair","43.9260135","5.8929101"
"FR0000006940","PrivateSiding","Vicat","45.5733329","5.8952231"
